Project Name,Field Number,Bin Number,Number Captured,Species,Minimum (mm),Maximum (mm),Year
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,1,1,Ameiurus melas,318,318,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,1,1,Ameiurus natalis,296,296,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1,1,Pomoxis nigromaculatus,197,197,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1,2,Lepomis macrochirus,37,39,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1,1,Amia ocellicauda,380,380,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1,4,Erimyzon sucetta,49,54,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1,20,Lepomis gibbosus,32,185,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1,5,Lepomis sp,34,42,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-004A,1,1,Pomoxis nigromaculatus,282,282,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-004A,1,1,Lepomis macrochirus,190,190,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-004A,1,7,Lepomis gibbosus,43,143,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1,3,Pomoxis nigromaculatus,157,230,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1,6,Lepomis macrochirus,125,189,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1,3,Amia ocellicauda,423,454,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1,1,Erimyzon sucetta,177,177,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1,15,Lepomis gibbosus,46,195,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1,1,Micropterus nigricans,308,308,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1,2,Ameiurus melas,215,315,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-006A,1,1,Pomoxis nigromaculatus,230,230,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-006A,1,8,Amia ocellicauda,394,493,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-006A,1,11,Lepomis gibbosus,103,186,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-006A,1,1,Ameiurus melas,316,316,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1,4,Pomoxis nigromaculatus,76,212,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1,5,Lepomis macrochirus,133,155,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1,1,Amia ocellicauda,432,432,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1,3,Erimyzon sucetta,125,242,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1,14,Lepomis gibbosus,42,184,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1,1,Lepomis sp,35,35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-002A,1,3,Lepomis macrochirus,43,150,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-002A,1,7,Amia ocellicauda,452,558,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-002A,1,4,Lepomis sp,22,32,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,1,4,Pomoxis nigromaculatus,65,241,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,1,5,Lepomis macrochirus,144,180,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,1,3,Amia ocellicauda,411,485,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,1,5,Lepomis gibbosus,86,163,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,1,1,Notemigonus crysoleucas,105,105,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1,1,Pomoxis nigromaculatus,229,229,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1,6,Lepomis macrochirus,35,180,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1,5,Amia ocellicauda,530,634,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1,2,Lepomis gibbosus,36,39,2023
